Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,28/06/2017,272.763187,253.886743,279.891188,205.20802
ETH,29/06/2017,311.237618,272.763187,317.131738,258.276577
ETH,30/06/2017,288.277201,311.237618,318.41902,277.810747
ETH,01/07/2017,265.081169,288.277201,300.761212,262.951794
ETH,02/07/2017,246.574977,265.081169,275.05925,242.599616
ETH,03/07/2017,272.3068,246.574977,285.812648,246.190284
ETH,04/07/2017,279.09903,272.3068,284.137819,266.989364
ETH,05/07/2017,267.070981,279.09903,283.83019,260.815599
ETH,06/07/2017,264.97838,267.070981,270.613146,251.400964
ETH,07/07/2017,261.923616,264.97838,272.765213,260.849787
ETH,08/07/2017,237.417595,261.923616,265.079873,227.834402
ETH,09/07/2017,246.154278,237.417595,247.740251,232.642984
ETH,10/07/2017,233.466663,246.154278,248.206478,233.187074
ETH,11/07/2017,190.299095,233.466663,236.407827,189.573159
ETH,12/07/2017,185.848756,190.299095,207.215464,169.718979
ETH,13/07/2017,223.207956,185.848756,225.27559,185.848756
ETH,14/07/2017,197.906611,223.207956,224.022754,191.129784
ETH,15/07/2017,186.126286,197.906611,202.084117,180.881316
ETH,16/07/2017,168.194937,186.126286,191.542029,166.228925
ETH,17/07/2017,165.270026,168.194937,169.047964,138.588268
ETH,18/07/2017,180.626926,165.270026,195.027,160.166
ETH,19/07/2017,224.075703,180.626926,267.986,177.820779
ETH,20/07/2017,211.168405,224.075703,245.651,186.686804
ETH,21/07/2017,227.759647,211.168405,236.491212,200.36971
ETH,22/07/2017,221.32264,227.759647,238.17282,210.586751
ETH,23/07/2017,231.845107,221.32264,237.222465,220.227112
ETH,24/07/2017,227.009216,231.845107,232.618456,217.722
ETH,25/07/2017,223.985269,227.009216,229.753865,222.453
ETH,26/07/2017,198.355377,223.985269,225.320556,187.760161
ETH,27/07/2017,201.962879,198.355377,206.602,192.580932
ETH,28/07/2017,200.045871,201.962879,206.444,198.507216
ETH,29/07/2017,200.045871,200.045871,203.895,184.86
ETH,30/07/2017,202.356029,200.045871,209.394951,177.22758
ETH,31/07/2017,194.967731,202.356029,204.534,190.979107
ETH,01/08/2017,209.020204,194.967731,212.252,189.696378
ETH,02/08/2017,226.21304,209.020204,231.414931,205.389557
ETH,03/08/2017,218.789061,226.21304,227.081,215.529025
ETH,04/08/2017,225.307634,218.789061,228.292,218.789061
ETH,05/08/2017,226.980461,225.307634,228.45,219.708328
ETH,06/08/2017,258.638867,226.980461,270.328,226.076416
ETH,07/08/2017,266.935567,258.638867,272.385253,251.885531
ETH,08/08/2017,272.195838,266.935567,274.606735,260.591625
ETH,09/08/2017,315.197193,272.195838,318.716,270.154115
ETH,10/08/2017,292.309764,315.197193,317.437,276.69
ETH,11/08/2017,301.244641,292.309764,309.050269,292.056495
ETH,12/08/2017,312.508364,301.244641,317.320432,296.80854
ETH,13/08/2017,299.769888,312.508364,318.395264,273.275255
