Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,19/02/2020,265.1448245,281.4042932,286.7519742,251.6772125
ETH,20/02/2020,259.7141345,258.8474449,264.2184464,246.1780145
ETH,21/02/2020,263.949385,259.7110004,268.6092346,254.0968942
ETH,22/02/2020,262.5732338,265.6881601,267.2730735,256.736652
ETH,23/02/2020,272.8428067,262.5691731,275.3366176,261.2756993
ETH,24/02/2020,263.8974852,272.8473478,277.708362,257.0230483
ETH,25/02/2020,251.9396762,263.8960707,267.006149,244.3759791
ETH,26/02/2020,225.6910701,251.9397915,251.9807182,215.5426206
ETH,27/02/2020,228.5854083,223.8823233,238.428281,210.1001735
ETH,28/02/2020,229.7854128,227.62721,234.7948751,214.4878151
ETH,29/02/2020,223.499288,229.7860462,233.2691992,221.4456151
ETH,01/03/2020,218.777736,223.4992679,227.776085,212.1268018
ETH,02/03/2020,230.812952,218.7768834,234.1852626,215.8928095
ETH,03/03/2020,224.6566351,232.0343099,232.6650573,219.9493612
ETH,04/03/2020,223.5277347,224.6562559,229.047914,220.4809358
ETH,05/03/2020,229.4143467,223.5285236,234.2592546,223.5260538
ETH,06/03/2020,240.4900817,228.936579,241.8133381,227.9712266
ETH,07/03/2020,240.5548524,240.5176726,252.5990377,236.6120714
ETH,08/03/2020,204.4108196,240.574393,240.6522949,203.5604328
ETH,09/03/2020,198.9773509,204.409597,209.7067018,189.822892
ETH,10/03/2020,203.1258772,203.1224284,206.417134,195.9137127
ETH,11/03/2020,194.427784,203.1277748,203.1525263,181.7249688
ETH,12/03/2020,127.2928962,194.4190714,195.634896,125.398911
ETH,13/03/2020,134.8210288,127.2961436,142.7696371,89.12203565
ETH,14/03/2020,124.9746147,134.8209002,138.6602973,123.520234
ETH,15/03/2020,123.7851093,124.9783659,140.1188475,120.3637021
ETH,16/03/2020,107.8983448,123.7056714,125.3449192,101.1181962
ETH,17/03/2020,118.3424036,107.9063585,120.9954965,107.5406348
ETH,18/03/2020,116.6065978,118.3389189,119.0685754,110.7148692
ETH,19/03/2020,140.8145457,116.5963987,143.5123452,115.9858314
ETH,20/03/2020,131.753158,140.8218465,153.1439814,116.6076331
ETH,21/03/2020,133.0816861,131.7649583,137.8092859,126.0691948
ETH,22/03/2020,123.2739472,133.0569759,137.6053555,122.3096235
ETH,23/03/2020,133.5701414,122.4791515,137.8896112,119.7426464
ETH,24/03/2020,140.1136999,133.5755786,144.3268148,133.0782176
ETH,25/03/2020,136.2496619,140.1092094,142.7179379,133.2704226
ETH,26/03/2020,136.6194963,136.3739676,139.0568576,133.7024401
ETH,27/03/2020,137.3184524,136.6185794,141.8027138,134.9075113
ETH,28/03/2020,131.2719317,137.3174606,137.3480397,125.3914771
ETH,30/03/2020,125.7283385,131.2752903,132.1039718,124.0249907
ETH,31/03/2020,133.7604753,124.4850282,135.4305768,124.1211868
ETH,01/04/2020,133.8929306,133.7498004,135.284805,130.6133359
ETH,02/04/2020,133.6525611,133.9133316,134.9038179,128.9923833
ETH,03/04/2020,142.5059265,133.6531152,149.9255286,133.5361133
ETH,04/04/2020,141.9206657,141.4470883,146.9356898,137.1831309
ETH,05/04/2020,144.1399041,141.9150412,146.5603123,139.0690013
ETH,06/04/2020,143.4993181,144.442955,145.9355568,140.8570066
ETH,07/04/2020,165.9462414,143.5003603,167.6462617,142.7616908
ETH,08/04/2020,166.4521496,165.9313097,176.4758147,162.493916
ETH,09/04/2020,172.8180919,166.4529168,174.5494637,163.2432187
ETH,10/04/2020,170.898714,172.8060053,173.7712735,165.6592749
ETH,11/04/2020,158.3075978,170.8986142,171.0957701,152.6164802
ETH,12/04/2020,158.010143,158.1338529,161.5064601,154.1694609
ETH,13/04/2020,162.023023,158.0070095,165.478978,155.3892855
ETH,14/04/2020,158.3185448,162.0230237,162.643682,150.21396
ETH,15/04/2020,159.7720237,158.1904744,162.2260863,155.7097622
ETH,16/04/2020,155.7292613,159.7696344,161.4999132,155.4397948
ETH,17/04/2020,174.0709972,153.0130095,174.5424392,148.6120062
ETH,18/04/2020,170.4157421,174.0950675,174.9407825,168.4524385
ETH,19/04/2020,188.1478721,170.4144991,189.7083243,170.4144991
ETH,20/04/2020,182.8541797,188.0228371,189.675142,176.580222
ETH,21/04/2020,171.3567484,182.8504561,186.6824072,167.0758818
ETH,22/04/2020,173.0543256,171.3555135,174.8467838,168.6138452
ETH,23/04/2020,182.209944,173.0531735,184.236789,170.1791848
ETH,24/04/2020,189.041151,182.2104001,193.4271814,178.3381224
ETH,25/04/2020,186.7921766,187.838387,189.9548662,184.960926
ETH,26/04/2020,193.6154222,186.7922836,198.1591868,186.0531399
ETH,27/04/2020,195.0902575,193.6142324,199.9994175,192.6599519
ETH,28/04/2020,197.025236,195.0914234,199.2723365,190.2449037
ETH,29/04/2020,197.3102249,196.8082326,198.0333933,192.6974719
ETH,30/04/2020,215.2002836,197.3100658,219.33709,196.7336124
ETH,01/05/2020,210.6202342,215.1289574,227.4632501,202.2787788
ETH,02/05/2020,212.3596702,210.622782,217.5523223,205.4940718
ETH,03/05/2020,214.7327164,212.3608688,215.8868401,210.7981641
ETH,04/05/2020,210.1867624,214.4688667,219.8058107,205.705298
ETH,05/05/2020,207.6209439,210.1831644,210.7856384,195.3044077
ETH,06/05/2020,205.0922163,207.6194602,211.8736692,201.4883897
ETH,07/05/2020,206.1612678,205.5914139,211.0983499,202.2826852
ETH,08/05/2020,212.9707684,206.161441,215.2475412,197.2693053
ETH,09/05/2020,213.6120028,212.974068,216.7245477,207.3486379
ETH,10/05/2020,211.3727352,213.620015,215.3336101,209.1647938
